0.213, 4.775, -18.415, -23.139, -9.566, 15.786, -15.109, 16.297, 0.372, 0.907, 1.603, 3.552, 68.634, ?
-0.274, 3.541, -18.429, -21.878, -6.449, 14.860, -20.926, 17.829, 2.009, 4.461, 0.188, 3.562, 69.517, ?
-0.483, 0.969, -17.852, -20.678, -3.958, 12.190, -20.439, 15.114, 2.270, 11.374, -2.056, 1.164, 70.429, ?
-0.815, -2.684, -17.016, -17.851, -3.251, 6.060, -17.199, 14.922, 3.373, 12.209, -3.849, 0.686, 71.434, ?
-0.956, -5.165, -14.902, -15.552, -4.308, 4.191, -16.751, 14.930, 6.741, 10.543, -5.549, 0.426, 72.064, ?
-0.453, -7.747, -12.880, -14.809, -4.735, 3.410, -15.110, 13.795, 8.689, 9.491, -8.189, 1.388, 72.354, ?
-0.363, -8.475, -12.772, -11.787, -5.843, -0.721, -12.762, 15.509, 9.768, 4.780, -10.164, 5.823, 72.493, ?
-0.826, -9.515, -11.085, -7.194, -8.715, -5.740, -8.515, 18.981, 7.222, 3.497, -10.539, 8.861, 73.040, ?
-2.262, -10.938, -7.338, -4.569, -13.479, -9.290, -4.456, 19.115, 5.895, -2.850, -6.483, 9.463, 73.993, ?
-3.531, -10.516, -4.986, -4.947, -14.110, -9.416, -0.664, 16.116, 4.718, -5.103, -1.851, 10.745, 74.705, ?
-5.472, -8.101, -1.830, -6.630, -10.959, -10.318, 2.873, 12.174, 3.369, -4.035, -0.465, 9.325, 75.017, ?
-6.132, -5.666, 0.094, -7.289, -8.907, -8.828, 3.499, 9.381, 1.295, -5.200, -0.899, 6.766, 74.019, ?
-6.067, -3.791, 2.265, -6.152, -7.190, -8.172, 0.792, 8.317, 1.305, -3.445, -4.226, 2.218, 72.234, ?
-5.867, -4.183, 2.109, -4.916, -5.827, -7.687, -0.996, 10.101, 2.437, -2.205, -6.930, 5.330, 70.222, ?
-4.535, -5.221, 0.713, -0.536, -7.449, -5.175, -2.698, 9.792, 1.920, -1.755, -7.763, 9.416, 67.698, ?
-4.954, -6.746, 0.173, -1.328, -9.031, -5.328, -3.632, 10.216, 3.515, 3.943, -5.737, 9.422, 65.966, ?
-5.471, -7.322, -0.581, -6.650, -9.045, -5.633, -2.760, 6.297, 0.698, 5.575, -5.456, 7.677, 65.238, ?
-6.283, -7.973, -1.294, -7.316, -6.071, -2.057, 0.365, 5.826, -0.127, 5.134, -6.053, 6.753, 65.486, ?
-5.431, -7.425, -3.176, -6.190, -4.670, -0.725, -0.213, 5.749, 3.818, 7.075, -8.531, 5.769, 65.687, ?
-5.275, -8.232, -4.555, -6.613, -2.662, 0.896, 0.272, 6.482, 7.122, 10.318, -8.424, 3.892, 64.751, ?
-5.326, -9.940, -5.310, -5.194, -0.799, -2.499, -0.310, 7.962, 7.884, 10.983, -7.817, 2.892, 63.311, ?
